Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
8555542989,2019-10-18 01:44:30,2019-10-07 12:40:00,,Texas,325,No Subject Provided,Y
3852842799,2019-10-18 01:44:32,2019-09-20 08:15:00,springville,Utah,801,"Reducing your debt (credit cards, mortgage, student loans)",Y
8006927753,2019-10-18 01:44:42,2019-10-18 16:00:00,,New Jersey,201,"Calls pretending to be government, businesses, or family and friends",Y
6096864132,2019-10-18 01:45:20,2019-10-17 13:41:00,,New Jersey,973,No Subject Provided,Y
8449947661,2019-10-18 01:45:21,2019-10-18 11:31:00,,New Jersey,201,No Subject Provided,Y
8552628872,2019-10-18 01:45:30,2019-10-03 18:01:00,,Texas,325,No Subject Provided,Y
3252344068,2019-10-18 01:46:38,2019-10-01 18:11:00,,Texas,325,No Subject Provided,Y
9733548084,2019-10-18 01:47:01,2019-10-17 13:45:00,,New Jersey,973,No Subject Provided,Y
4046553291,2019-10-18 01:47:22,2019-10-17 10:24:00,,California,650,No Subject Provided,Y
8327488595,2019-10-18 01:48:03,2019-10-17 15:25:00,,Texas,832,Warranties  & protection plans,Y
9738171933,2019-10-18 01:48:40,2019-10-17 19:33:00,,New Jersey,973,No Subject Provided,N
3252151979,2019-10-18 01:48:17,2019-09-30 14:23:00,,Texas,325,No Subject Provided,Y
6822232919,2019-10-18 01:49:12,2019-09-30 08:36:00,,Texas,325,No Subject Provided,Y
7203075749,2019-10-18 01:49:55,2019-10-17 15:13:00,,Colorado,303,No Subject Provided,Y
8455786696,2019-10-18 01:50:12,2019-10-17 15:25:00,,New York,845,"Calls pretending to be government, businesses, or family and friends",Y
6292103759,2019-10-18 01:50:17,2019-09-27 15:27:00,,Texas,325,No Subject Provided,Y
7203075749,2019-10-18 01:50:48,2019-10-16 09:57:00,,Colorado,303,No Subject Provided,Y
7203075749,2019-10-18 01:51:29,2019-10-16 09:56:00,,Colorado,303,No Subject Provided,Y
7372167563,2019-10-18 01:51:37,2019-09-27 13:07:00,,Texas,325,No Subject Provided,Y
4046534498,2019-10-18 01:51:52,2019-10-17 13:34:00,,California,650,No Subject Provided,Y
6096864254,2019-10-18 01:52:54,2019-09-26 20:21:00,,Texas,325,No Subject Provided,Y
8334029203,2019-10-18 01:53:21,2019-10-17 13:13:00,Kelseyville,California,707,"Calls pretending to be government, businesses, or family and friends",Y
4146397247,2019-10-18 01:53:57,2019-10-17 18:18:00,,Wisconsin,414,"Calls pretending to be government, businesses, or family and friends",Y
6508907868,2019-10-18 01:54:10,2019-10-17 14:27:00,,California,650,Dropped call or no message,Y
4196048814,2019-10-18 01:54:26,2019-09-26 18:15:00,,Texas,325,No Subject Provided,Y
7602795123,2019-10-18 01:54:56,2019-10-17 12:57:00,Kelseyville,California,707,No Subject Provided,Y
8446982894,2019-10-18 01:55:19,2019-09-23 15:23:00,,Texas,325,No Subject Provided,Y
8772954949,2019-10-18 01:55:47,2019-10-17 11:55:00,Kelseyville,California,707,No Subject Provided,Y
8183094290,2019-10-18 01:57:07,2019-10-17 20:11:00,Kelseyville,California,707,Charities,Y
4048141771,2019-10-18 02:00:53,2019-10-17 14:28:00,,California,650,No Subject Provided,Y
2150953074,2019-10-18 02:02:07,2019-10-17 15:39:00,,Pennsylvania,215,"Energy, solar,  & utilities",Y
7147069243,2019-10-18 02:02:50,2019-10-17 14:38:00,,California,949,Dropped call or no message,N
2103437821,2019-10-18 02:03:13,2019-10-17 15:04:00,Plano,Texas,214,No Subject Provided,N
2092224294,2019-10-18 02:04:04,2019-10-17 18:35:00,Quartz Hill,California,661,Charities,Y
4023893033,2019-10-18 02:04:35,2019-10-16 10:32:00,,Pennsylvania,215,"Calls pretending to be government, businesses, or family and friends",Y
4138354033,2019-10-18 02:05:07,2019-10-17 12:07:00,,Illinois,630,No Subject Provided,Y
9517078870,2019-10-18 02:05:24,2019-10-17 21:04:00,,California,650,Dropped call or no message,Y
4138354033,2019-10-18 02:05:56,2019-10-17 14:46:00,,Illinois,630,No Subject Provided,Y
2158058739,2019-10-18 02:06:02,2019-10-09 17:50:00,,Pennsylvania,215,"Reducing your debt (credit cards, mortgage, student loans)",Y
6303376278,2019-10-18 02:06:49,2019-10-16 14:41:00,,Illinois,630,No Subject Provided,Y
8323844529,2019-10-18 02:07:10,2019-10-17 16:08:00,Quartz Hill,California,661,"Calls pretending to be government, businesses, or family and friends",Y
6306151188,2019-10-18 02:07:44,2019-10-15 15:46:00,,Illinois,630,No Subject Provided,Y
2158066099,2019-10-18 02:07:47,2019-10-09 16:27:00,,Pennsylvania,215,Warranties  & protection plans,Y
6304071071,2019-10-18 02:08:41,2019-10-15 09:13:00,,Illinois,630,No Subject Provided,Y
6616091827,2019-10-18 02:14:46,2019-10-16 15:06:00,Quartz Hill,California,661,Home improvement  & cleaning,N
